CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
71594,132.80372,23307977983,0.65,0.378,130.582,1.407,648,0,0.628,0.352,0,0.683,0.55,0,0.656,0.451,0,1.#IO,1.#IO,34,1.07,0,1.#IO,1.#IO,35,0.927,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.237,0.069,0,0,0,0,0,23308082873
71595,132.82774,23308034117,0.648,0.357,132.787,0.04,649,1,0.644,0.316,1,0.683,0.55,0,0.644,0.316,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,1,8.287,1,3.094,0.69,61.824,0,0,0,0.284,0.051,0,0,0,0,0,23308180225
71596,132.87873,23308153291,0.648,0.357,132.787,0.091,649,1,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.287,0.05,0,0,0,0,0,23308216033
71597,132.88467,23308167182,0.648,0.357,132.787,0.097,649,1,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.287,0.05,0,0,0,0,0,23308327657
71598,132.8887,23308176599,0.648,0.357,132.787,0.101,649,1,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.29,0.048,0,0,0,0,0,23308436795
71599,132.90203,23308207763,0.649,0.383,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.292,0.047,0,0,0,0,0,23308855843
71600,132.9182,23308245568,0.649,0.383,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.302,0.039,0,0,0,0,0,23308856209
71601,132.95162,23308323670,0.649,0.383,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.31,0.037,0,0,0,0,0,23308856479
71602,132.99253,23308419285,0,0,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.31,0.037,0,0,0,0,0,23308938712
71603,132.99835,23308432892,0,0,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.31,0.037,0,0,0,0,0,23308939031
71604,133.00329,23308444436,0,0,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.31,0.037,0,0,0,0,0,23308939294
71605,133.02267,23308489735,0,0,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.319,0.031,0,0,0,0,0,23308939555
71606,133.10495,23308682071,0,0,132.787,0.101,649,0,0.644,0.316,0,0.683,0.55,0,0.644,0.316,0,1.#IO,1.#IO,35,1.07,0,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,0,0,0,3.094,0.69,61.824,0,0,0,0.319,0.031,0,0,0,0,0,23308939826
